"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"43885-40199","SF","Giannis","Giannis Antetokounmpo","Antetokounmpo","57.88235294117647","51","11800","MIL@WAS","MIL","WAS","","","","",""
"43885-9644","SG","James","James Harden","Harden","57.042593496817126","54","11500","NY@HOU","HOU","NY","","","","",""
"43885-9642","PG","Russell","Russell Westbrook","Westbrook","48.1937510172526","48","10400","NY@HOU","HOU","NY","","","","",""
"43885-49111","C","Joel","Joel Embiid","Embiid","45.55714343843006","42","10000","ATL@PHI","PHI","ATL","","","","",""
"43885-14513","PF","Kawhi","Kawhi Leonard","Leonard","48.67045454545455","44","9900","MEM@LAC","LAC","MEM","","","","",""
"43885-58462","C","Karl-Anthony","Karl-Anthony Towns","Towns","49.259999302455356","35","9800","MIN@DAL","MIN","DAL","O","Wrist","","",""
"43885-84669","PG","Luka","Luka Doncic","Doncic","51.54468292885638","47","9800","MIN@DAL","DAL","MIN","GTD","Ankle","","",""
"43885-84671","PG","Trae","Trae Young","Young","47.18518518518518","54","9600","ATL@PHI","ATL","PHI","","","","",""
"43885-14514","C","Nikola","Nikola Vucevic","Vucevic","41.86888834635417","45","9400","ORL@BKN","ORL","BKN","","","","",""
"43885-63122","PF","Kristaps","Kristaps Porzingis","Porzingis","38.14185989734738","43","8800","MIN@DAL","DAL","MIN","","","","",""
"43885-84673","C","Deandre","Deandre Ayton","Ayton","41.7","25","8800","PHO@UTA","PHO","UTA","GTD","Ankle","","",""
"43885-15595","SG","Bradley","Bradley Beal","Beal","45.04583231608073","48","8700","MIL@WAS","WAS","MIL","","","","",""
"43885-66115","PG","Ben","Ben Simmons","Simmons","42.95090997869318","55","8600","ATL@PHI","PHI","ATL","O","Back","","",""
"43885-80817","PF","Bam","Bam Adebayo","Adebayo","40.17017458196272","57","8600","MIA@CLE","MIA","CLE","","","","",""
"43885-58312","SG","D'Angelo","D'Angelo Russell","Russell","38.258334689670136","36","8600","MIN@DAL","MIN","DAL","GTD","Knee","","",""
"43885-15557","C","Andre","Andre Drummond","Drummond","47.130186836674525","53","8500","MIA@CLE","CLE","MIA","","","","",""
"43885-66236","PF","John","John Collins","Collins","40.65625","32","8300","ATL@PHI","ATL","PHI","","","","",""
"43885-12341","SF","Paul","Paul George","George","37.46764777688419","34","8100","MEM@LAC","LAC","MEM","GTD","Hamstring","","",""
"43885-58460","SG","Devin","Devin Booker","Booker","39.47999822443182","55","8100","PHO@UTA","PHO","UTA","","","","",""
"43885-40203","C","Rudy","Rudy Gobert","Gobert","40.82363725142046","55","8000","PHO@UTA","UTA","PHO","","","","",""
"43885-14528","SG","Jimmy","Jimmy Butler","Butler","42.17083231608073","48","7900","MIA@CLE","MIA","CLE","O","Personal","","",""
"43885-42669","PF","Julius","Julius Randle","Randle","35.807406955295136","54","7800","NY@HOU","NY","HOU","","","","",""
"43885-19138","PG","Elfrid","Elfrid Payton","Payton","30.063890245225693","36","7200","NY@HOU","NY","HOU","GTD","Ankle","","",""
"43885-16261","SG","Khris","Khris Middleton","Middleton","35.21800048828125","50","7200","MIL@WAS","MIL","WAS","","","","",""
"43885-41594","PF","Aaron","Aaron Gordon","Gordon","30.1539990234375","50","7100","ORL@BKN","ORL","BKN","","","","",""
"43885-15542","PG","Spencer","Spencer Dinwiddie","Dinwiddie","35.236363636363635","55","7100","ORL@BKN","BKN","ORL","","","","",""
"43885-66113","SG","Donovan","Donovan Mitchell","Mitchell","36.70356968470982","56","7000","PHO@UTA","UTA","PHO","","","","",""
"43885-14503","C","Jonas","Jonas Valanciunas","Valanciunas","33.10377358490566","53","7000","MEM@LAC","MEM","LAC","","","","",""
"43885-23798","SG","Caris","Caris LeVert","LeVert","26.616666666666667","30","6500","ORL@BKN","BKN","ORL","","","","",""
"43885-55059","C","Clint","Clint Capela","Capela","38.753846779847755","39","6400","ATL@PHI","ATL","PHI","O","Heel","","",""
"43885-20491","PF","Robert","Robert Covington","Covington","28.607408311631943","54","6300","NY@HOU","HOU","NY","","","","",""
"43885-110344","PG","Ja","Ja Morant","Morant","32.33137302772671","51","6200","MEM@LAC","MEM","LAC","","","","",""
"43885-15846","SF","Tim","Tim Hardaway","Hardaway","22.833333333333332","54","6200","MIN@DAL","DAL","MIN","","","","",""
"43885-12355","PG","Eric","Eric Bledsoe","Bledsoe","31.320833841959637","48","6100","MIL@WAS","MIL","WAS","","","","",""
"43885-14518","SF","Tobias","Tobias Harris","Harris","33.91052674410636","57","6100","ATL@PHI","PHI","ATL","O","Knee","","",""
"43885-84667","PG","Collin","Collin Sexton","Sexton","28.93333247669956","57","6100","MIA@CLE","CLE","MIA","","","","",""
"43885-58153","SF","Kelly","Kelly Oubre","Oubre","33.21999955610796","55","6100","PHO@UTA","PHO","UTA","","","","",""
"43885-9874","PF","Kevin","Kevin Love","Love","33.648936170212764","47","6000","MIA@CLE","CLE","MIA","GTD","Achilles","","",""
"43885-14496","PG","Ricky","Ricky Rubio","Rubio","32.81428621253189","49","5800","PHO@UTA","PHO","UTA","","","","",""
"43885-84683","PF","Jaren","Jaren Jackson","Jackson","29.603635475852272","55","5800","MEM@LAC","MEM","LAC","O","Knee","","",""
"43885-23776","C","Montrezl","Montrezl Harrell","Harrell","33.629090465198864","55","5800","MEM@LAC","LAC","MEM","","","","",""
"43885-9575","PG","Mike","Mike Conley","Conley","24.424242424242426","33","5700","PHO@UTA","UTA","PHO","","","","",""
"43885-80805","PG","Markelle","Markelle Fultz","Fultz","26.005455433238637","55","5700","ORL@BKN","ORL","BKN","","","","",""
"43885-66064","SG","Malik","Malik Beasley","Beasley","15.963043212890625","46","5600","MIN@DAL","MIN","DAL","","","","",""
"43885-23096","SG","Evan","Evan Fournier","Fournier","28.512726384943182","55","5500","ORL@BKN","ORL","BKN","","","","",""
"43885-9621","C","Brook","Brook Lopez","Lopez","27.20185230396412","54","5500","MIL@WAS","MIL","WAS","O","Back","","",""
"43885-9673","PG","Goran","Goran Dragic","Dragic","26.977777777777778","45","5500","MIA@CLE","MIA","CLE","","","","",""
"43885-14543","PF","Davis","Davis Bertans","Bertans","26.391304347826086","46","5400","MIL@WAS","WAS","MIL","","","","",""
"43885-9966","PF","James","James Johnson","Johnson","16.74347852623981","23","5400","MIN@DAL","MIN","DAL","","","","",""
"43885-20640","SG","Jordan","Jordan Clarkson","Clarkson","23.150909978693182","55","5300","PHO@UTA","UTA","PHO","","","","",""
"43885-84670","SF","Mikal","Mikal Bridges","Bridges","20.45789430852522","57","5300","PHO@UTA","PHO","UTA","","","","",""
"43885-20992","PF","Larry","Larry Nance","Nance","24.014892578125","47","5200","MIA@CLE","CLE","MIA","","","","",""
"43885-14530","SF","Bojan","Bojan Bogdanovic","Bogdanovic","28.28181818181818","55","5200","PHO@UTA","UTA","PHO","","","","",""
"43885-110349","PF","Rui","Rui Hachimura","Hachimura","25.596970066879734","33","5200","MIL@WAS","WAS","MIL","","","","",""
"43885-110353","PF","Brandon","Brandon Clarke","Clarke","25.1160009765625","50","5200","MEM@LAC","MEM","LAC","","","","",""
"43885-9662","SG","Lou","Lou Williams","Williams","31.61132121535967","53","5200","MEM@LAC","LAC","MEM","","","","",""
"43885-70822","SF","Juancho","Juancho Hernangomez","Hernangomez","9.882051125550882","39","5100","MIN@DAL","MIN","DAL","","","","",""
"43885-9561","C","DeAndre","DeAndre Jordan","Jordan","25.665958485704788","47","5100","ORL@BKN","BKN","ORL","","","","",""
"43885-16233","SG","Josh","Josh Richardson","Richardson","25.651162790697676","43","5100","ATL@PHI","PHI","ATL","","","","",""
"43885-80821","PF","Jarrett","Jarrett Allen","Allen","29.430908203125","55","5100","ORL@BKN","BKN","ORL","","","","",""
"43885-81621","PF","Maxi","Maxi Kleber","Kleber","20.621429443359375","56","5000","MIN@DAL","DAL","MIN","","","","",""
"43885-12511","PG","Ish","Ish Smith","Smith","24.230908203125","55","5000","MIL@WAS","WAS","MIL","","","","",""
"43885-15583","PG","Seth","Seth Curry","Curry","18.752830649321933","53","5000","MIN@DAL","DAL","MIN","","","","",""
"43885-84709","C","Mitchell","Mitchell Robinson","Robinson","25.611539400540867","52","5000","NY@HOU","NY","HOU","GTD","Ankle","","",""
"43885-110995","PF","Naz","Naz Reid","Reid","15.295238676525297","21","5000","MIN@DAL","MIN","DAL","","","","",""
"43885-16301","C","Dewayne","Dewayne Dedmon","Dedmon","15.59230706630609","39","5000","ATL@PHI","ATL","PHI","","","","",""
"43885-16405","SG","Terrence","Terrence Ross","Ross","22.253702799479168","54","4900","ORL@BKN","ORL","BKN","","","","",""
"43885-84704","SG","Kevin","Kevin Huerter","Huerter","24.612766996343087","47","4900","ATL@PHI","ATL","PHI","","","","",""
"43885-9453","PF","Al","Al Horford","Horford","29.682692307692307","52","4900","ATL@PHI","PHI","ATL","","","","",""
"43885-16363","SF","Joe","Joe Harris","Harris","23.37037037037037","54","4900","ORL@BKN","BKN","ORL","","","","",""
